frameNo, fps, batches, triangles, vertices, shadowCasters, renderTextureChanges, frameTime, renderTime, renderTextureCount, renderTextureBytes, usedTextureMemorySize, usedTextureCount, screenRes, screenBytes, vboTotal, vboTotalBytes, vboUploads, vboUploadBytes, ibUploads, ibUploadBytes, visibleSkinnedMeshes, drawCalls
103,57.2223143944461,128,118290,125280,173,34,0.0023452,0.0005739,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
104,61.6249236677322,128,118290,125280,173,34,0.0034029,0.0008083,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
105,58.8851869681304,128,118290,125280,173,34,0.0024406,0.0005875,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
106,61.5021299516823,128,117562,124190,172,34,0.0022778,0.0006786,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
107,59.5862357993612,128,117562,124190,172,34,0.0019241,0.0005861,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
108,60.2605669357306,128,118290,125280,173,34,0.0017477,0.0006431001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
109,58.6651327746167,128,118290,125280,173,34,0.0022341,0.0006034,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
110,63.14486609952,128,117562,124190,172,34,0.0023988,0.0006569,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
111,58.342039145728,128,117562,124190,172,34,0.0024403,0.0006015,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
112,62.7427380315453,128,117562,124190,172,34,0.0020041,0.0006172,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
113,59.3827785257407,128,117562,124190,172,34,0.0024396,0.0006299,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
114,55.7867597930343,128,117562,124190,172,34,0.0024117,0.000745,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
115,67.9777298513108,128,117562,124190,172,34,0.0020635,0.0006589,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
116,54.9601552603578,128,117562,124190,172,34,0.0024083,0.0006146,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
117,54.3023751217925,128,117562,124190,172,34,0.0023987,0.0007698,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
118,69.9657856720709,128,117562,124190,172,34,0.0018062,0.0005875,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,213
119,53.8967333236088,128,120988,129055,177,34,0.0049526,0.0007707999,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,217
120,66.5898667404913,132,133236,143987,218,34,0.0015701,0.0005895999,34,289786030,0,0,1920x1080,24883200,0,0,11,120544,11,12444,2,237
121,60.4832627807247,198,242873,275562,526,34,0.0021665,0.0007839,34,289786030,0,0,1920x1080,24883200,0,0,12,145984,12,20724,2,386
122,62.6181924977498,376,524882,619497,904,34,0.0029909,0.0013413,34,289786030,0,0,1920x1080,24883200,0,0,13,163792,13,26520,2,640
123,37.9118172360738,376,529024,624710,903,34,0.0264072,0.0241971,34,289786030,0,0,1920x1080,24883200,0,0,17,530304,15,31788,2,652
124,58.6400208751872,389,529182,622826,890,34,0.0026041,0.0012868,34,289786030,0,0,1920x1080,24883200,0,0,13,163792,13,26520,2,666
125,59.0367538824624,392,529425,623424,887,34,0.0025696,0.0012608,34,289786030,0,0,1920x1080,24883200,0,0,13,163792,13,26520,2,676
126,65.0144321936845,392,529425,623424,887,34,0.0027351,0.0013963,34,289786030,0,0,1920x1080,24883200,0,0,13,163792,13,26520,2,676
127,58.3502062855131,390,528008,619749,851,34,0.0027043,0.0013365,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
128,54.8275648593968,390,528008,619749,851,34,0.0031335,0.0014824,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
129,62.1044702603069,390,528008,619749,851,34,0.002414,0.0012332,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
130,58.2991801511865,390,528008,619749,851,34,0.0025903,0.0012762,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
131,59.9150376813354,390,528008,619749,851,34,0.002344,0.001177,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
132,61.3075665446958,390,528008,619749,851,34,0.0023043,0.001179,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
133,56.8621183615917,390,528008,619749,851,34,0.0031263,0.001444,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
134,65.0834034027044,390,528008,619749,851,34,0.002311,0.0011807,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,688
135,59.917913033851,388,523434,615350,845,34,0.0025819,0.0013091,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,695
136,55.5290221832311,391,524944,617118,841,34,0.0028232,0.0013021,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,684
137,67.832942505213,384,513867,604185,812,34,0.0029379,0.0012835,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,680
138,59.9448477520469,376,516906,610531,802,34,0.0027458,0.0012391,34,289786030,0,0,1920x1080,24883200,0,0,13,161248,13,25692,2,674
139,58.8695869859255,351,547952,646383,800,34,0.0026015,0.0011793,34,289786030,0,0,1920x1080,24883200,0,0,13,153616,13,23208,2,632
140,56.7562657280144,165,405064,467514,380,31,0.0018588,0.0006073,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,386
141,61.1067664414734,144,363925,418600,223,31,0.0015179,0.0004789,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,270
142,64.5436104735346,147,364847,420143,224,31,0.0015029,0.0004681,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,269
143,54.8098378422967,147,371213,427460,227,31,0.0019477,0.000518,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,272
144,62.328595724159,145,363555,416834,240,31,0.0015248,0.0004768,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
145,59.0054079314643,147,340251,392514,244,31,0.0016919,0.0005088,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,283
146,63.9410714598351,147,340251,392514,244,31,0.001446,0.0004551,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,283
147,58.2628326799165,147,340251,392514,244,31,0.0014858,0.0004665,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,283
148,57.2259191498597,145,363555,416834,240,31,0.0018116,0.0006679,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
149,64.9975289552198,145,363555,416834,240,31,0.0015651,0.0004835,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
150,56.2530929089706,145,363555,416834,240,31,0.0015763,0.0005175,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
151,64.8470593635186,145,363555,416834,240,31,0.0016767,0.000544,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
152,54.7252511035345,145,363555,416834,240,31,0.0019995,0.0007455,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
153,61.5972145398414,145,363555,416834,240,31,0.0015019,0.0004767,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
154,62.0243482729344,145,357281,410274,238,31,0.001859,0.000519,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
155,60.6560531840843,145,357281,410274,238,31,0.0016892,0.0005273001,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
156,58.8879578625003,145,357281,410274,238,31,0.0015256,0.0005339,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
157,62.4449737970462,145,357281,410274,238,31,0.0015815,0.000553,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
158,59.3443658596545,145,357281,410274,238,31,0.0014768,0.0004614,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
159,58.5182017926789,145,357281,410274,238,31,0.0016872,0.0004970001,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
160,62.0755603059338,145,357281,410274,238,31,0.0015109,0.0004716999,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
161,57.762731325698,145,357281,410274,238,31,0.0018122,0.0006508,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
162,62.8835898320077,145,357281,410274,238,31,0.001621,0.0005026,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
163,56.6970586688469,145,357281,410274,238,31,0.0015254,0.0004595999,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
164,59.3803089580309,145,357281,410274,238,31,0.0014593,0.0004626,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
165,61.2850247082554,145,357281,410274,238,31,0.0016547,0.000524,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
166,60.5341514437033,145,357281,410274,238,31,0.0014498,0.0004623,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
167,60.5191323640579,145,357281,410274,238,31,0.0016399,0.0005259,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
168,62.2897692821588,145,357281,410274,238,31,0.0014724,0.0004675001,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
169,57.0799035426012,145,357281,410274,238,31,0.0018171,0.0005659,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
170,59.7221719535537,145,357281,410274,238,31,0.0017368,0.0005408,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
171,56.7962364556805,145,357281,410274,238,31,0.0023495,0.0005909,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
172,65.0766266977477,145,351939,406152,256,31,0.0014924,0.0004395,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,275
173,59.0196849943583,145,352691,407208,259,31,0.0018094,0.0005997001,33,281491630,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,279
174,56.9369075401213,217,447153,543022,636,31,0.0019363,0.0006939,33,281491630,0,0,1920x1080,24883200,0,0,13,156160,13,24036,2,466
175,65.8687772318475,389,510303,572451,874,34,0.0025504,0.0012533,34,289786030,0,0,1920x1080,24883200,0,0,13,163792,13,26520,2,740
176,57.2216618053864,410,443514,486988,773,34,0.0028836,0.0013022,34,289786030,0,0,1920x1080,24883200,0,0,13,163792,13,26520,2,783
177,62.9199893068898,263,243344,261283,364,34,0.0024621,0.0010219,34,289786030,0,0,1920x1080,24883200,0,0,12,125632,12,14100,2,448
178,60.0322946292841,127,82125,81861,84,34,0.0018392,0.0006944,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,175
179,56.313596773011,99,72339,71952,73,34,0.0015316,0.0005723001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,140
180,60.5664188675124,99,70973,70122,73,34,0.0018106,0.0006766,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,141
181,59.0838450578952,99,70973,70122,73,34,0.0016359,0.0006097,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,141
182,63.3625231381928,99,70973,70122,73,34,0.0017825,0.0006617,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,141
183,57.3585243028382,99,70973,70122,73,34,0.0018165,0.0005664,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,141
184,58.8418747999772,99,70973,70122,73,34,0.0029826,0.0005921,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,141
185,65.9465316497242,99,70973,70122,73,34,0.0021111,0.0007657,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,141
